0.22959E-21 0.14905E-23 0.00000E+01 68901 0 0 6401 0.27860E+26 0.00000E+01 0.22959E-21 0.00000E+01 0.00000E+01 0
1 2.5887e-22 1.9431e-23 2.7843 7.7095e-21 2.5887e-22
2 2.3007e-22 6.5814e-24 1.5006 2.4693e-21 2.3007e-22
3 2.2604e-22 3.7538e-24 1.2321 1.7003e-21 2.2604e-22
4 2.5607e-22 1.829e-23 2.6494 7.9675e-21 2.5607e-22
5 2.3721e-22 6.7506e-24 1.4929 2.3677e-21 2.3721e-22
6 2.2677e-22 3.8621e-24 1.2635 1.7543e-21 2.2677e-22
7 2.1902e-22 1.5099e-23 2.5574 6.0215e-21 2.1902e-22
8 2.258e-22 6.6091e-24 1.5355 2.815e-21 2.258e-22
9 2.2796e-22 3.8904e-24 1.2661 1.9052e-21 2.2796e-22
10 2.2677e-22 7.1825e-24 1.6616 3.2582e-21 2.2677e-22
11 2.3512e-22 4.6344e-24 1.4623 8.5912e-21 2.3512e-22
12 2.2964e-22 2.8821e-24 1.3168 1.9928e-21 2.2964e-22
13 2.4083e-22 1.7047e-23 2.6257 5.1306e-21 2.4083e-22
14 2.3353e-22 6.7015e-24 1.5054 2.4522e-21 2.3353e-22
15 2.3152e-22 3.8576e-24 1.2362 1.7418e-21 2.3152e-22
16 2.5632e-22 1.9445e-23 2.8141 1.1459e-20 2.5632e-22
17 2.2268e-22 6.642e-24 1.5647 2.7794e-21 2.2268e-22
18 2.2919e-22 4.1216e-24 1.3341 4.5437e-21 2.2919e-22
