0.22959E-13 0.14905E-15 0.00000E+01 68901 0 0 6401 0.27860E+18 0.00000E+01 0.22959E-13 0.00000E+01 0.00000E+01 0
1 2.5887e-14 1.9431e-15 2.7843 7.7095e-13 2.5887e-14
2 2.3007e-14 6.5814e-16 1.5006 2.4693e-13 2.3007e-14
3 2.2604e-14 3.7538e-16 1.2321 1.7003e-13 2.2604e-14
4 2.5607e-14 1.829e-15 2.6494 7.9675e-13 2.5607e-14
5 2.3721e-14 6.7506e-16 1.4929 2.3677e-13 2.3721e-14
6 2.2677e-14 3.8621e-16 1.2635 1.7543e-13 2.2677e-14
7 2.1902e-14 1.5099e-15 2.5574 6.0215e-13 2.1902e-14
8 2.258e-14 6.6091e-16 1.5355 2.815e-13 2.258e-14
9 2.2796e-14 3.8904e-16 1.2661 1.9052e-13 2.2796e-14
10 2.2677e-14 7.1825e-16 1.6616 3.2582e-13 2.2677e-14
11 2.3512e-14 4.6344e-16 1.4623 8.5912e-13 2.3512e-14
12 2.2964e-14 2.8821e-16 1.3168 1.9928e-13 2.2964e-14
13 2.4083e-14 1.7047e-15 2.6257 5.1306e-13 2.4083e-14
14 2.3353e-14 6.7015e-16 1.5054 2.4522e-13 2.3353e-14
15 2.3152e-14 3.8576e-16 1.2362 1.7418e-13 2.3152e-14
16 2.5632e-14 1.9445e-15 2.8141 1.1459e-12 2.5632e-14
17 2.2268e-14 6.642e-16 1.5647 2.7794e-13 2.2268e-14
18 2.2919e-14 4.1216e-16 1.3341 4.5437e-13 2.2919e-14
