0.22959E-17 0.14905E-19 0.00000E+01 68901 0 0 6401 0.27860E+22 0.00000E+01 0.22959E-17 0.00000E+01 0.00000E+01 0
1 2.5887e-18 1.9431e-19 2.7843 7.7095e-17 2.5887e-18
2 2.3007e-18 6.5814e-20 1.5006 2.4693e-17 2.3007e-18
3 2.2604e-18 3.7538e-20 1.2321 1.7003e-17 2.2604e-18
4 2.5607e-18 1.829e-19 2.6494 7.9675e-17 2.5607e-18
5 2.3721e-18 6.7506e-20 1.4929 2.3677e-17 2.3721e-18
6 2.2677e-18 3.8621e-20 1.2635 1.7543e-17 2.2677e-18
7 2.1902e-18 1.5099e-19 2.5574 6.0215e-17 2.1902e-18
8 2.258e-18 6.6091e-20 1.5355 2.815e-17 2.258e-18
9 2.2796e-18 3.8904e-20 1.2661 1.9052e-17 2.2796e-18
10 2.2677e-18 7.1825e-20 1.6616 3.2582e-17 2.2677e-18
11 2.3512e-18 4.6344e-20 1.4623 8.5912e-17 2.3512e-18
12 2.2964e-18 2.8821e-20 1.3168 1.9928e-17 2.2964e-18
13 2.4083e-18 1.7047e-19 2.6257 5.1306e-17 2.4083e-18
14 2.3353e-18 6.7015e-20 1.5054 2.4522e-17 2.3353e-18
15 2.3152e-18 3.8576e-20 1.2362 1.7418e-17 2.3152e-18
16 2.5632e-18 1.9445e-19 2.8141 1.1459e-16 2.5632e-18
17 2.2268e-18 6.642e-20 1.5647 2.7794e-17 2.2268e-18
18 2.2919e-18 4.1216e-20 1.3341 4.5437e-17 2.2919e-18
